text_id,author_canonical_name,author_fre_name,author_eng_name,author_dates,author_period,author_ISNI,author_URI_Perseus_catalog,author_CTS_code,author_URI_PHI,author_biography,work_canonical_title,work_orig_title,work_fre_title,work_eng_title,work_date,work_language,work_URI_data_bnf,work_URI_perseus_Catalog,work_URI_PHI,work_URI_RSPA,work_reference_editions,work_available_editions,work_genre,work_description,text_format,text_filename,text_source,text_source_URI,text_edition,text_Perseus_main_structuretext_Perseus_or_First1KGreek,text_Perseus_or_First1KGreek_secondary_structure,text_Perseus_or_First1KGreek_milestone,text_Perseus_or_First1KGreek_CTS _refdecl,text_Perseus_or_First1KGreek_enrichment,text_other_source_URI,text_other_source_version,text_other_source_format,text_other_source_licence,text_commentary,relevant_passages_ref,relevant_passages_length,relevant_passages_commentary,zoom_step,zoom_ref_added_by,zoom_ref_confirmed_by,zoom_text_added_by,zoomathia_text_confirmed_by,zoomathia_commented_by,zoomathia_checked_by,zoomathia_update_date
24,AVIANUS,Avianus,Avianus,c. 400 ,Antiquity,http://www.isni.org/isni/0000000110254627,http://catalog.perseus.org/catalog/urn:cite:perseus:author.247,stoa004,non,,Fabulae,Fabulae,Fables,Fables,,lat,http://data.bnf.fr/14412378/flavius_avianus_fables/,http://data.perseus.org/catalog/urn:cts:latinLit:stoa0046.stoa001,,,,,,,,,,non,,,,,,,,,,,,—,,,1 (reference added),AZ,,,,,,
25,BABRIUS,Babrius,Babrius,II ,Antiquity,http://www.isni.org/isni/0000000095417925,http://catalog.perseus.org/catalog/urn:cite:perseus:author.252,tlg0614,,,Fabulae,Μυθίαμβοι Αἰσώπειοι,Fables,Fables,,grc,http://data.bnf.fr/12285600/babrius_fables/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0614.tlg001,,,,,,,TEI,tlg0614.tlg001.1st1K-grc2.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0614/tlg001/tlg0614.tlg001.1st1K-grc2.xml,"Babrii Fabulae Aesopeae. Crusius, Otto, editor. Leipzig: Teubner, 1897",livre,p (plusieurs par div),pb et lb (plusieurs niveaux),oui,,,,,,,—,,,2 (text added),AZ,,MS,,,,
26,BASILIUS,Basile de Césarée,Basil,c. 329 - 379,"Antiquity (late, christian)",http://www.isni.org/isni/0000000121029433,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1513,tlg2040,,,Homiliae in Hexaemeron,Ὁμιλίαι εἰς τὴν Ἑξαήμερον,Homélies sur l'Hexaéméron,Homilies on the Hexaemeron,378,grc,http://data.bnf.fr/12253337/basile_de_cesaree_homelies_sur_l_hexaemeron/,non,,,,,religious,,,,,non,,,,,,,,,,,,Homélies 7-9,,,1 (reference added),AZ,,,,,,
27,CASSIANUS BASSUS,Cassianus Bassus,Cassianus Bassus,VI ,Antiquity,http://www.isni.org/isni/0000000110259962,,non,,,Geoponica,Γεωπονικά,Géoponiques,Geoponica,,grc,http://data.bnf.fr/13179766/cassianus_bassus_geoponiques/,,,,,,,"Encyclopédie byzantine du xe siècle en vingt livres : compilation en grec sur l’agriculture (au sens large) rédigée par un anonyme, vraisemblablement sur l’ordre de l’empereur Constantin VII Porphyrogénète. Environ les quatre cinquièmes du corpus des Geoponica sont issus d’un traité du VIe siècle de Cassianus Bassus. Ce traité a pour source primaire une compilation réalisée au IVe siècle par Vindonius Anatolius de Béryte. Cette dernière à son tour était tirée de diverses sources, notamment Magon de Carthage, le pseudo-Démocrite, Pline l'Ancien, Julius Africanus. (Wikipedia)

",,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
28,COLUMELLA,Columelle,"Columella, Lucius Junius Moderatus",4  - c. 70 ,Antiquity,http://www.isni.org/isni/0000000120186322,http://catalog.perseus.org/catalog/urn:cite:perseus:author.394,phi0845,https://latin.packhum.org/author/845,,De re rustica,De re rustica,On agriculture,On agriculture,20 BC,lat,http://data.bnf.fr/12194464/columelle_de_l_agriculture/,http://data.perseus.org/catalog/urn:cts:latinLit:phi0845.phi002,https://latin.packhum.org/loc/845/2/0,,,,technical,,TEI,phi0845.phi002.perseus-lat3.xm,Perseus,https://github.com/PerseusDL/canonical-latinLit/blob/master/data/phi0845/phi002/phi0845.phi002.perseus-lat3.xml,"Columella, Lucius Junius Moderatus. On Agriculture, vol.  2. / ed. E.S. Forster. Edward H. Heffner. London. Cambridge. William Heinemann; Harvard University, 1940-1954 (2 vol)",livre/ch/section,p (un par div),pb (pagination moderne),non,notes éditoriales,,,,,2 fichiers dans Perseus (1 par volume),partie : 12,,,2 (text added),AZ,,MS,,,,
29,DIODORE,Diodore de Sicile,Diodorus Siculus,I BC,Antiquity,http://www.isni.org/isni/000000012020835X,http://catalog.perseus.org/catalog/urn:cite:perseus:author.488,tlg0060,,,Bibliotheca historica,Βιβλιοθήκη ἱστορική,Bibliothèque historique,Historical library,,grc,http://data.bnf.fr/12008253/diodore_de_sicile_bibliotheque_historique/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0060.tlg001,,,,,history,,TEI,tlg0060.tlg001.perseus-grc4.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0060/tlg001/tlg0060.tlg001.perseus-grc4.xml,"Diodorus of Sicily. Vols. 4-8 (partial). C. H. Oldfather, C. H.; Sherman, Charles L.; Welles, C. Bradford; editors. Cambridge, MA: Harvard University Press; London: William Heinemann, Ltd., 1946-1963",livre/ch/section,p (un par div),pb (pagination moderne),non,,,,,,lacunaire dans Perseus (manque livres 6-10),1.83-87,,,2 (text added),AZ,,MS,,,,
30,ESOPUS,Ésope,Aesop,c. 620 BC - 564 BC,Antiquity,http://www.isni.org/isni/0000000390082566,http://catalog.perseus.org/catalog/urn:cite:perseus:author.35,tlg0096,,,Fabulae,Μῦθοι,Fables,Fables,,grc,http://data.bnf.fr/12011874/esope_fables/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0096.tlg002,,,,,literature,,TEI,tlg0096.tlg002.First1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0096/tlg002/tlg0096.tlg002.1st1K-grc1.xml,"Fabulae Aesopicae Collectae / ed. Caroli Halmii. Lipsiae : B. G. Teubneri, 1872",livre,p (plusieurs par div),pb et lb (plusieurs niveaux),,,,,,,,,,,2 (text added),AZ,,MS,,,,
31,EUCHERIUS ,Eucher de Lyon,Eucherius,370  - 449 ,"Antiquity (late, christian)",http://www.isni.org/isni/0000000121433401,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1691,stoa0117,non,,Formulae spiritalis intellegentiae ,Formulae spiritalis intellegentiae ,Formulae spiritalis intellegentiae ,Formulae spiritalis intellegentiae ,,lat,,http://data.perseus.org/catalog/urn:cts:latinLit:stoa0117.stoa002,,,C. Mandolfo. Brepols. 2004,,religious,,,,,non,,,,,,,,Brepols,rtf,autorisation Brepols ?,,chap. IV,,,1 (reference added),AZ,,,,,,14/12/14
32,GALENUS,Galien,Galen,129  - c. 200 ,Antiquity,http://www.isni.org/0000000121302401,http://catalog.perseus.org/catalog/urn:cite:perseus:author.649,tlg0057,,,De naturalibus facultatibus,Περὶ φυσικῶν δυνάμεων,Sur les facultés naturelles,On the naturals faculties,,grc,http://data.bnf.fr/12118443/claude_galien_des_facultes_naturelles/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0057.tlg010,,,,,medical,,TEI,tlg0057.tlg010.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0057/tlg010/tlg0057.tlg010.perseus-grc2.xml,"On the Natural Faculties / Galen, ed. A.J. Brock. Cambridge, MA : Harvard University Press, 1916",livre/section,p (phrases),pb (pagination moderne),non,,,,,,,partie,,,2 (text added),AZ,,MS,,,,
33,GRATTIUS ,Grattius Faliscus,Grattius Faliscus,I BC - I ,Antiquity,http://www.isni.org/isni/000000037130774X,http://catalog.perseus.org/catalog/urn:cite:perseus:author.678,phi0887,https://latin.packhum.org/author/887,,Cynegetica,Cynegetica,Cynegetica,Cynegetica,,lat,,http://data.perseus.org/catalog/urn:cts:latinLit:phi0887.phi001,https://latin.packhum.org/loc/887/1/0,,,,technical,,,,,non,,,,,,,http://penelope.uchicago.edu/Thayer/L/Roman/Texts/Grattius/Cynegeticon*.html,,,,,,,,1 (reference added),AZ,,,,,,
34,HERODOTUS,Hérodote,Herodotus,c. 484 BC - c. 425 BC,Antiquity,http://www.isni.org/isni/0000000123530133,http://catalog.perseus.org/catalog/urn:cite:perseus:author.728,tlg0016,,,Historiae,Ἱστορία,Histoires,History,,grc,http://data.bnf.fr/12008360/herodote_histoires/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0016.tlg001,,,,,history,,TEI,tlg0016.tlg001.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0016/tlg001/tlg0016.tlg001.perseus-grc2.xml,"Herodotus, with an English translation / by A. D. Godley. Cambridge : Harvard University Press, 1920",livre/ch/section,p (un par div),milestone (paragraphe),oui (livre/ch/section),,,,,,,"II.65-73, etc.",,,2 (text added),AZ,,MS,,,,
35,HESIODUS,Hésiode,Hesiod,VIII-VII BC,Antiquity,http://www.isni.org/isni/0000000120793528,http://catalog.perseus.org/catalog/urn:cite:perseus:author.729,tlg0020,,,Opera & Dies,"Ἔργα καὶ ἡμέραι
",Les travaux et les jours,Works and Days,,grc,http://data.bnf.fr/12258920/hesiode_les_travaux_et_les_jours/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0020.tlg002,,,,,poetry,,TEI,tlg0020.tlg002.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0020/tlg002/tlg0020.tlg002.perseus-grc2.xml,"The Homeric Hymns and Homerica ; Works and Days / Hesiod, with an English Translation by Hugh G. Evelyn-White.  Cambridge, MA :,Harvard University Press; London, William Heinemann Ltd, 1914",lignes,,milestone (paragraphe ; groupes de 10 lignes),oui (lignes),,,,,,,partie,,,2 (text added),AZ,,MS,,,,
36,HIEROCLES,,,300 - 400,Antiquity,,,non,,,Hippiatrica,,,,,grc,,,,,,,technical,Dans le Corpus hippiatricorum graecorum,,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
37,HIPPOCRATES,Hippocrate,Hippocrates,c. 460 BC - c. 370 BC,Antiquity,http://www.isni.org/isni/0000000435238545,http://catalog.perseus.org/catalog/urn:cite:perseus:author.739,tlg0627,,,De diaeta acutorum,Περὶ διαίτης ὀξέω,Du régime des maladies aiguës,On Regim,,grc,http://data.bnf.fr/14999987/hippocrate_du_regime_des_maladies_aigues/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0627.tlg005,,,,,medical,,TEI,tlg0627.tlg005.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0627/tlg005/tlg0627.tlg005.perseus-grc2.xml,"Hippocrates. Oeuvres complètes d'Hippocrate, Vol. 2. Littré, Émile, editor.  Adolf M. Hakkert: Amsterdam, 1961",section,p (phrases),pb (pagination moderne),non,,,,,,,,,,2 (text added),AZ,,MS,,,,
38,ISIDORUS HISPALENSIS,Isidore de Séville,Isidorus of Seville,560  - 636 ,"Antiquity (late, christian)",http://www.isni.org/isni/0000000122756296,http://catalog.perseus.org/catalog/urn:cite:perseus:author.771,stoa0159,non,,Etymologiae,Etymologiae,Étymologies,Etymologies,c. 630,lat,http://data.bnf.fr/13179089/isidore_de_seville_etymologies/,http://data.perseus.org/catalog/urn:cts:latinLit:stoa0159.stoa004,,,,,encyclopedia,,,,,non,,,,,,,http://penelope.uchicago.edu/Thayer/e/roman/texts/isidore/home.html,,,,,book 12,,,1 (reference added),AZ,,,,,,
39,LUCIANUS SAMOSATENSIS,Lucien de Samosate,Lucian of Samosata,c. 120  - c. 180 ,Antiquity,http://www.isni.org/isni/0000000120187026,http://catalog.perseus.org/catalog/urn:cite:perseus:author.848,tlg0062,,,Dipsades,,Sur les dipsades,Dipsads,,grc,,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0062.tlg054,,,,,literature,,TEI,tlg0062.tlg054.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0062/tlg054/tlg0062.tlg054.perseus-grc2.xml,"Luciani Samosatensis Opera, Vol III / ed. Karl Jacobitz. Leipzig : Teubner, 1913",section,p (un par div),pb (pagination moderne),non,citations,,,,,,,,,2 (text added),AZ,,MS,,,,
40,LUCIANUS SAMOSATENSIS,Lucien de Samosate,Lucian of Samosata,c. 120  - c. 180 ,Antiquity,http://www.isni.org/isni/0000000120187026,http://catalog.perseus.org/catalog/urn:cite:perseus:author.848,tlg0062,,,De sacrificiis,,Sur les sacrifices,On sacrifices,,grc,,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0062.tlg027,,,,,literature,,TEI,tlg0062.tlg027.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0062/tlg027/tlg0062.tlg027.perseus-grc2.xml,"Lucian, Vol. 3. Harmon, A. M., editor. London: William Heinemann, Ltd.; Cambridge, MA: Harvard University Press, 1921",section,,,non,,,,,,2 fichiers dans Perseus,—,,,2 (text added),AZ,,MS,,,,
41,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",Némesien,"Nemesianus, Marcus Aurelius Olympius",III ,Antiquity,http://www.isni.org/isni/0000000081223863,http://catalog.perseus.org/catalog/urn:cite:perseus:author.965,stoa0209,non,,Cynegetica,,Les cynégétiques,,284,lat,http://data.bnf.fr/16904819/nemesien_les_cynegetiques/,http://data.perseus.org/catalog/urn:cts:latinLit:stoa0209.stoa002,,,,,,"Poème sur la chasse en 325 vers, dont il ne reste que l'introduction et la partie sur l'équipement nécessaire pour la chasse",,,,non,,,,,,,http://penelope.uchicago.edu/Thayer/L/Roman/Texts/Nemesianus/Cynegetica*.html,,,,,,,,1 (reference added),AZ,,,,,,
42,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",Némesien,"Nemesianus, Marcus Aurelius Olympius",III ,Antiquity,http://www.isni.org/isni/0000000081223863,http://catalog.perseus.org/catalog/urn:cite:perseus:author.965,stoa0209,non,,De aucupio,,Sur la capture des oiseaux,On Bird-catching,,lat,,non,,,,,,,,,,non,,,,,,,http://penelope.uchicago.edu/Thayer/L/Roman/Texts/Nemesianus/de_Aucupio*.html,,,,,,,,1 (reference added),AZ,,,,,,
43,NICANDER COLOPHONIUS,Nicandre de Colophon,Nicander of Colophon,II BC,Antiquity,http://www.isni.org/isni/0000000117505425,http://catalog.perseus.org/catalog/urn:cite:perseus:author.974,tlg0022,,,Theriaca,Θηριακά,Les thériaques,On Venomous Animals,,grc,http://data.bnf.fr/13188633/nicandre_de_colophon_les_theriaques/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0022.tlg002,,,,,,,,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
44,OPPIANUS-1,Oppien de Corycos,Oppian of Corycus,-183,Antiquity,http://www.isni.org/isni/0000000374059112,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1015,tlg0023,,,Halieutica,῾Αλιευτικά,Halieutiques,Halieutica,,grc,http://data.bnf.fr/15118908/oppien_de_cilicie_halieutiques/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0023.tlg001,,,,,,,TEI,tlg0023.tlg001.perseus-grc2.xml ,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0023/tlg001/tlg0023.tlg001.perseus-grc2.xml,"Oppian, Colluthus, Tryphiodorus / with an English Translation by A.W. Mair. London : William Heinemann, Ltd.; New York: G.P. Putnam's Sons, 1928",livre/vers,,,non,,,,,,,complete,,,2 (text added),AZ,,MS,,,,
45,OPPIANUS-2,Oppien d'Apamée,Oppian of Apamea,III ,Antiquity,http://www.isni.org/isni/0000000094826743,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1016,tlg0024,,,Cynegetica,Κυνηγετικά,Cynégétique,Cynegetica,,grc,http://data.bnf.fr/14626755/oppien_de_syrie_cynegetique/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0024.tlg001,,,,,,,TEI,tlg0024.tlg001.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0024/tlg001/tlg0024.tlg001.perseus-grc2.xml,"Oppian, Colluthus, Tryphiodorus / with an English Translation by A.W. Mair. London : William Heinemann, Ltd.; New York: G.P. Putnam's Sons, 1928",livre/vers,,,non,,,,,,,complete,,,2 (text added),AZ,,MS,,,,
46,OVIDIUS,Ovide,Ovidius,43 BC - 17 ,Antiquity,http://www.isni.org/isni/0000000121427757,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1018,stoa0216,https://latin.packhum.org/author/959,,Halieutica,Halieutica,Halieutiques,Halieutica,,lat,http://data.bnf.fr/15122919/ovide_halieutiques/,http://data.perseus.org/catalog/urn:cts:latinLit:phi0959.phi014,https://latin.packhum.org/loc/959/14/0,,,,,,,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
47,PHAEDRUS,Phèdre,Phaedrus,50 BC - 15,Antiquity,http://www.isni.org/isni/0000000118219332,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1068,phi0975,https://latin.packhum.org/author/975,,Fabulae,Fabulae,Fables,Fables,,lat,http://data.bnf.fr/13320754/phedre_fables/,http://data.perseus.org/catalog/urn:cts:latinLit:phi0975.phi001,https://latin.packhum.org/loc/975/1/0,,,,literature,,TEI,phi0975.phi001.perseus-lat2.xml,Perseus,https://github.com/PerseusDL/canonical-latinLit/blob/master/data/phi0975/phi001/phi0975.phi001.perseus-lat2.xml,"Fabulae Aesopiae. Phaedrus, Augusti libertus / ed. L. Mueller. Leipzig :  B. G. Teubner, 1876",livre/poeme,,,non,,,,,,,,,,2 (text added),AZ,,MS,,,,
48,PHILO ALEXANDRINUS,Philon d'Alexandrie,Philo of Alexandria,c. 30 BC - c. 45 ,Antiquity,http://www.isni.org/isni/0000000445046950,,non,,,De aeternitate mundi ,Περὶ ἀφθαρσίας κόσμου,Sur l'éternité du monde,On the eternity of the world,,grc,http://data.bnf.fr/13163878/philon_d_alexandrie_sur_l_eternite_du_monde/,non,,,,,religious,,TEI,tlg0018.tlg029.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0018/tlg029/tlg0018.tlg029.1st1K-grc1.xml,"Philonis Alexandrini Opera Quae Supersunt / ed. Leopoldus Cohn et Sigofredus Reiter. Berolini : Typis et Impensis Georgii Reimeri, 1915. vol. VI",chapitre,p (plusieurs par div),pb et lb ; milestones altref et altpage,,notes éditoriales,,,,,,partie,,,2 (text added),AZ,,MS,,,,
49,PHILO ALEXANDRINUS,Philon d'Alexandrie,Philo of Alexandria,c. 30 BC - c. 45 ,Antiquity,http://www.isni.org/isni/0000000445046950,,non,,,De agricultura,περί γεωργίας,Sur l’agriculture,On husbandry,,grc,,non,,,,,religious,,TEI,tlg0018.tlg009.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0018/tlg009/tlg0018.tlg009.1st1K-grc1.xml,"Philonis Alexandrini Opera Quae Supersunt / ed. Paul Wendland. Berolini : Typis et Impensis Georgii Reimeri, 1897. vol. II",,,,,,,,,,,partie,,,2 (text added),AZ,,MS,,,,
50,PHILO ALEXANDRINUS,Philon d'Alexandrie,Philo of Alexandria,c. 30 BC - c. 45 ,Antiquity,http://www.isni.org/isni/0000000445046950,,non,,,De plantatione,Περι Φυτουργιας Νωε Το Δευτερον,Sur l’oeuvre de Noé comme planteur,Concerning Noah's Work as a Planter,,grc,,non,,,,,religious,,TEI,tlg0018.tlg010.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0018/tlg010/tlg0018.tlg010.1st1K-grc1.xml,"Philonis Alexandrini Opera Quae Supersunt / ed. Paul Wendland. Berolini : Typis et Impensis Georgii Reimeri, 1897. vol. II",,,,,,,,,,,partie,,,2 (text added),AZ,,MS,,,,
51,PHILO ALEXANDRINUS,Philon d'Alexandrie,Philo of Alexandria,c. 30 BC - c. 45 ,Antiquity,http://www.isni.org/isni/0000000445046950,,non,,,De somniis,Περὶ τοῦ θεοπέμπτους εἴναι τοὺς ὀνείρους,Des songes,On dreams,,grc,http://data.bnf.fr/13163887/philon_d_alexandrie_des_songes/,non,,,,,religious,"Appartient à un ensemble de commentaires du Pentateuque, plus particulièrement au Commentaire allégorique de la loi",TEI,tlg0018.tlg019.1st1K-grc1.xml ,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0018/tlg019/tlg0018.tlg019.1st1K-grc1.xml,"Philonis Alexandrini Opera Quae Supersunt / ed. Paul Wendland. Berolini : Typis et Impensis Georgii Reimeri, 1897. vol. III",,,,,,,,,,,partie,,,2 (text added),AZ,,MS,,,,
52,PHILON,,,,Antiquity,,,non,,,,,,,,ara,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (to be precised),AZ,,,,,,
53,PHILOUMENOS,,,,Antiquity,,,non,,,,,,,,grc,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (to be precised),AZ,,,,,,
54,PHYSIOLOGUS-G-I,,,100 - 400,Middle-Age,,,non,,,Physiologus,Physiologus,Physiologus,Physiologus,,grc,http://data.bnf.fr/12011614/physiologue/,,,,,,encyclopedia,"Sorte de manuel d'histoire naturelle composé en grec entre le IIe et le IVe s. Différentes versions en latin, éthiopien, copte, syriaque, arabe, arménie, langues slaves, moyen haut allemand, moyen anglais.",,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
55,PHYSIOLOGUS-G-II,,,100 - 400,Middle-Age,,,non,,,Physiologus,Physiologus,Physiologus,Physiologus,,grc,http://data.bnf.fr/12011614/physiologue/,,,,,,encyclopedia,,,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
56,PHYSIOLOGUS-G-III,,,100 - 400,Middle-Age,,,non,,,Physiologus,Physiologus,Physiologus,Physiologus,,grc,http://data.bnf.fr/12011614/physiologue/,,,,,,encyclopedia,,,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
57,PHYSIOLOGUS-L-A,,,100 - 400,Middle-Age,,,non,non,,Physiologus,Physiologus,Physiologus,Physiologus,,lat,http://data.bnf.fr/12011614/physiologue/,,,,,,encyclopedia,,,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
58,PHYSIOLOGUS-L-B,,,100 - 400,Middle-Age,,,non,non,,Physiologus,Physiologus,Physiologus,Physiologus,,lat,http://data.bnf.fr/12011614/physiologue/,,,,,,encyclopedia,,,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
59,PHYSIOLOGUS-L-C,,,100 - 400,Middle-Age,,,non,non,,Physiologus,Physiologus,Physiologus,Physiologus,,lat,http://data.bnf.fr/12011614/physiologue/,,,,,,encyclopedia,,,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
60,PHYSIOLOGUS-L-Y,,,100 - 400,Middle-Age,,,non,non,,Physiologus,Physiologus,Physiologus,Physiologus,,lat,http://data.bnf.fr/12011614/physiologue/,,,,,,encyclopedia,,,,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,
61,PLATO,Platon,Plato,428 BC - 348 BC,Antiquity,http://isni.org/isni/0000000120967858,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1137,tlg0059,,,Timaeus,Τίμαιος,Timée,Timaeus,c. 360 AD,grc,http://data.bnf.fr/12010394/platon_timee/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0059.tlg031,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/3db5b14cec82aa0ecab5ec8f83034fddc064e4f5,,,philosophy,,TEI,tlg0059.tlg031.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0059/tlg031/tlg0059.tlg031.perseus-grc2.xml," Platonis Opera Tomvs IV Tetralogia VIII, Burnet, John, 1863-1928, editor. Oxford University Press. 1905.",texte/section,,,non,,,,,,,partie,,,2 (text added),AZ,,MS,,,,
62,PLINIUS MAJOR,Pline l'Ancien,Pliny the Elder,23 BC -79 ,Antiquity,http://www.isni.org/isni/0000000123213947,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1141,phi0978,https://latin.packhum.org/author/978,,Naturalis Historia,Naturalis Historia,Histoire naturelle,Natural history,c. 70 AD,lat,http://data.bnf.fr/12011602/pline_l_ancien_histoire_naturelle/,http://data.perseus.org/catalog/urn:cts:latinLit:phi0978.phi001,https://latin.packhum.org/loc/978/1/0,,,,encyclopedia,,TEI,phi0978.phi001.perseus-lat2.xml,Perseus,https://github.com/PerseusDL/canonical-latinLit/blob/master/data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml,"Naturalis Historia / Pliny the Elder, ed. Karl Friedrich Theodor Mayhoff. Lipsiae : Teubner, 1906",livre/chapitre,,,oui,,,,,,,"books 8-11, 28-30, 32",,,3 (annotation),AZ,,,,,doctorante CEPAM,
63,PLUTARCHUS,Plutarque,Plutarch,c. 46  - 120 ,Antiquity,http://www.isni.org/isni/000000036386663X,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1144,tlg0007,,,De amore prolis,Περί της εις τα έγγονα φιλοστοργίας,De l’amour de la progéniture,On affection for offsprings,,grc,,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0007.tlg098,,,,,philosophy,,TEI,tlg0007.tlg098.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0007/tlg098/tlg0007.tlg098.perseus-grc2.xml,"Moralia / Plutarch, ed. Gregorius N. Bernardakis. Leipzig : Teubner, 1891. vol. 3",stephpage,,,non,,,,,,,Moralia.493A-497E,,,2 (text added),AZ,,MS,,,,
64,PLUTARCHUS,Plutarque,Plutarch,c. 46  - 120 ,Antiquity,http://www.isni.org/isni/000000036386663X,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1144,tlg0007,,,Quaestiones Naturales,Αίτια φυσικά,Questions naturelles,Causes of natural phenomena,,grc,,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0007.tlg125,,,,,philosophy,,TEI,tlg0007.tlg125.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0007/tlg125/tlg0007.tlg125.perseus-grc2.xml,"Moralia / Plutarch, ed. Gregorius N. Bernardakis. Leipzig : Teubner, 1893. vol. 5",stephpage,,,non,,,,,,,Moralia. 911C-919E ,,& 8 additional questions (Longolius),2 (text added),AZ,,MS,,,,
65,PLUTARCHUS,Plutarque,Plutarch,c. 46  - 120 ,Antiquity,http://www.isni.org/isni/000000036386663X,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1144,tlg0007,,,De sollertia animalium,Πότερα τῶν ζῴων φρονιμώτερα τὰ χερσαῖα ἢ τὰ ἔνυδρα,L'intelligence des animaux,Whether Land or Sea Animals Are Cleverer,,grc,http://data.bnf.fr/12262323/plutarque_l_intelligence_des_animaux/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0007.tlg129,,,,,philosophy,,TEI,tlg0007.tlg129.perseus-grc2.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0007/tlg129/tlg0007.tlg129.perseus-grc2.xml,"Moralia / Plutarch, ed. Gregorius N. Bernardakis. Leipzig : Teubner, 1895. vol. 6",stephpage,,,non,,,,,,,Moralia. 959B-985C,,,2 (text added),AZ,,MS,,,,
